country_code,country,internet_women,internet_men,gap_diff,gap_ratio,gdp_pc_ppp,log_gdp,flfp,sec_enroll_fem_gross,internet_total,urban_pct,gender_inequality_index
ALB,Albania,86.68,78.64,-8.040000000000006,1.102238046795524,21640.9835773271,9.982344183744848,58.154,106.71573638916,85.86389923,58.5463634043555,0.107
DZA,Algeria,83.46,82.39,-1.0699999999999932,1.0129870129870129,15501.9197003966,9.648719146876847,14.306,106.533807793893,77.4178009,75.2792907190618,0.443
ARG,Argentina,90.11,85.92,-4.189999999999998,1.048766294227188,26771.9657650571,10.195110565460455,52.281,107.980730920017,89.66715228,92.2742315972952,0.264
ARM,Armenia,90.87,83.38,-7.490000000000009,1.0898296953705926,20078.7848984844,9.907419058950993,51.586,90.1346954711088,81.33930206,65.8113671449901,0.18
AZE,Azerbaijan,84.56,88.24,3.6799999999999926,0.958295557570263,22090.5298026929,10.002904279951494,61.35,89.60752233538,90.43979645,58.573795837717,0.315
BGD,Bangladesh,37.9,49.42,11.520000000000003,0.7668959935248887,8486.78495660517,9.046265521673547,38.708,70.4720309842244,53.42171316,32.6783196323307,0.487
BLZ,Belize,87.85,84.02,-3.8299999999999983,1.0455843846703166,12621.4081961897,9.443149714354247,43.833,87.4232987312572,80.00582262,41.7532107338224,0.428
BEN,Benin,28.36,41.15,12.79,0.6891859052247874,3901.32588494392,8.269071744839303,74.985,40.2818489074707,33.98379898,52.5455354818423,0.573
BOL,Bolivia,76.77,81.54,4.77000000000001,0.9415011037527593,11329.1518061536,9.335134488567771,72.389,90.2157592773438,79.70469666,71.2361453773988,0.419
BIH,Bosnia and Herzegovina,84.34,85.26,0.9200000000000017,0.9892094768942059,20578.4995446816,9.932002098308402,39.399,90.4367218017578,86.10091103,52.1224302754935,0.157
BWA,Botswana,42.57,52.91,10.339999999999996,0.8045738045738047,18107.614452913,9.804087816795771,63.45,74.0652465820312,57.45950036,67.4623537838418,0.49
BRA,Brazil,87.01,88.14,1.1299999999999955,0.9871794871794872,19652.365499171,9.88595299168932,53.576,105.251502990723,84.46347227,87.8958549533146,0.39
BFA,Burkina Faso,20.24,43.76,23.52,0.4625228519195612,2548.50247702504,7.84326120173373,64.113,33.2389182465594,28.25270081,28.3352514896662,0.555
KHM,Cambodia,80.24,81.87,1.6300000000000097,0.9800903871992181,7011.58146903703,8.85531855644414,77.299,63.098667348683,68.47530365,40.8727033252729,0.506
CMR,Cameroon,39.28,53.66,14.379999999999995,0.7320163995527396,4916.93354019494,8.500440350988468,57.104,42.4944197803389,46.25880051,55.4031748609078,0.558
TCD,Chad,7.48,15.46,7.98,0.48382923673997413,2430.73298355271,7.795948130172703,47.554,19.4390107130432,12.62689972,26.9315292389497,0.67
CHN,China,89.18,83.43,-5.75,1.068920052738823,23841.4769141817,10.079182070358621,59.448,NA,92,65.8946980998325,0.132
COL,Colombia,79.86,81.59,1.730000000000004,0.9787964211300404,18481.8374929368,9.824543771688672,51.719,103.587738037109,79.34543299,78.5210811866115,0.393
COM,Comoros,37.41,50.17,12.760000000000005,0.745664739884393,3556.0384263801,8.176402402644054,47.126,56.4125595092773,32.51750183,33.5392215673301,0.501
COD,"Congo, Dem. Rep.",25.34,38.38,13.040000000000003,0.6602397081813444,1601.70926640422,7.378826629513212,61.886,42.9527015686035,19.67350006,44.7455804408753,0.604
COG,"Congo, Rep.",27.47,40.42,12.950000000000003,0.6796140524492825,6152.5650911844205,8.724624361841009,65.604,NA,47.25159836,63.8866111699904,0.565
CIV,Cote d'Ivoire,40.97,53.28,12.310000000000002,0.7689564564564564,6747.0379677706,8.816858867967543,59.465,64.4785040152839,41.43219902,53.9733113940142,0.589
DOM,Dominican Republic,91.08,87.53,-3.549999999999997,1.0405575231349251,24229.8894872915,10.095342252813438,53.266,80.5245385688015,91.0022446,72.4121874752151,0.417
ECU,Ecuador,79.8,86.01,6.210000000000008,0.9277990931287059,13922.4222780744,9.541255932979174,52.394,94.1827583420861,77.17273115,63.2376932397602,0.358
EGY,"Egypt, Arab Rep.",43.95,65.59,21.64,0.670071657264827,16798.151577838,9.729024134209451,18.468,83.9216814420657,74.64839935,42.8004363938404,0.398
SLV,El Salvador,79.8,82.17,2.3700000000000045,0.9711573566995253,11647.0234480127,9.362805928324004,48.957,61.1295384065253,66.47769928,75.0674905102199,0.362
SWZ,Eswatini,46.55,58.15,11.600000000000001,0.8005159071367154,10386.2145717572,9.248234683901735,48.422,NA,63.40309906,26.2498461258639,0.484
ETH,Ethiopia,7.17,20.86,13.69,0.34372003835091086,2892.22220162795,7.969780413531821,58.391,NA,21.94129944,23.6222839355469,0.497
GAB,Gabon,66.26,71.05,4.789999999999992,0.932582688247713,18923.6616609778,9.848168357758924,41.808,NA,68.72090149,91.8632094677575,0.505
GMB,"Gambia, The",66.57,62.99,-3.579999999999991,1.0568344181616127,3057.6841778633,8.025413103805404,45.428,116.372766553778,49.49430084,64.2994103409645,0.578
GEO,Georgia,82.89,80.65,-2.239999999999995,1.0277743335399876,24146.6234108645,10.091899831949855,56.673,97.8280378119792,83.79855689,61.0789605093733,0.257
GHA,Ghana,47.74,62.36,14.619999999999997,0.7655548428479795,7072.79879594445,8.864011549854114,55.733,76.4284133911133,72.17569733,58.3654868038581,0.514
GTM,Guatemala,64.86,78.03,13.170000000000002,0.8312187620146098,12643.9841235004,9.444936817679896,38.42,50.4821609334209,60.22140121,55.9547027274763,0.48
GIN,Guinea,25.4,36.65,11.25,0.6930422919508867,4016.34191385979,8.298126795660833,42.882,NA,33.30469894,38.0713036688655,0.609
HND,Honduras,76.3,74.04,-2.259999999999991,1.030524041058887,6590.84384301553,8.79343666831499,39.617,56.205606327767,58.62269974,58.7850728104829,0.437
IND,India,36.33,54.97,18.64,0.6609059486992905,9416.05137044735,9.150171104580217,32.415,78.7182686071249,64.9434967,35.3788972368389,0.403
IDN,Indonesia,70.07,70.85,0.7800000000000011,0.9889908256880734,14470.7179806578,9.579882436961107,53.588,98.6691707526139,72.78075544,58.7509635387997,0.423
IRN,"Iran, Islamic Rep.",77.82,77.14,-0.6799999999999926,1.0088151413015296,17484.1320140467,9.769049006517884,14.144,86.1972427368164,85.3404007,77.0201263427734,0.482
IRQ,Iraq,65.47,86.17,20.700000000000003,0.7597771846350238,12725.0431260364,9.451327230492462,11.003,NA,81.47450256,69.8861494108913,0.558
JOR,Jordan,89.43,89.12,-0.3100000000000023,1.0034784560143626,10468.265334284,9.256103610509161,16.008,92.9268253048268,95.62244985,92.9501393764286,0.433
KAZ,Kazakhstan,87.71,89.13,1.4200000000000017,0.9840682149669022,35973.9633287017,10.490550714904,65.291,96.7445196567945,93.39167254,62.072531584162,0.182
KEN,Kenya,49.63,71.86,22.229999999999997,0.6906484831617034,5841.59866001706,8.672759781515058,63.012,84.7505339840655,34.97622513,31.8937831721599,0.526
KGZ,Kyrgyz Republic,92.17,91.88,-0.29000000000000625,1.0031562908141054,7210.57669830499,8.883304212975576,44.256,92.5232415743903,92.0286026,34.7219977865937,0.34
LAO,Lao PDR,73.36,66.97,-6.390000000000001,1.0954158578467972,8600.3245466568,9.059555219512887,61.466,50.9977217073246,65.59269714,39.5552154401406,0.475
LBN,Lebanon,93.4,95.02,1.6199999999999903,0.9829509576931174,10469.2210966932,9.256194907276136,22.234,67.5449829101562,80.63400269,90.703695784554,0.36
