country_code,country_name,survey_year,internet_women,internet_men
ALB,Albania,2024,86.68,78.64
DZA,Algeria,2024,83.46,82.39
ARG,Argentina,2024,90.11,85.92
ARM,Armenia,2024,90.87,83.38
AZE,Azerbaijan,2024,84.56,88.24
BGD,Bangladesh,2024,37.9,49.42
BLZ,Belize,2024,87.85,84.02
BEN,Benin,2024,28.36,41.15
BOL,Bolivia,2024,76.77,81.54
BIH,Bosnia and Herzegovina,2024,84.34,85.26
BWA,Botswana,2024,42.57,52.91
BRA,Brazil,2024,87.01,88.14
BFA,Burkina Faso,2024,20.24,43.76
KHM,Cambodia,2024,80.24,81.87
CMR,Cameroon,2024,39.28,53.66
TCD,Chad,2024,7.48,15.46
CHN,China,2024,89.18,83.43
COL,Colombia,2024,79.86,81.59
COM,Comoros,2024,37.41,50.17
COD,"Congo, Dem. Rep.",2024,25.34,38.38
COG,"Congo, Rep.",2024,27.47,40.42
CIV,Cote d'Ivoire,2024,40.97,53.28
DOM,Dominican Republic,2024,91.08,87.53
ECU,Ecuador,2024,79.8,86.01
EGY,"Egypt, Arab Rep.",2024,43.95,65.59
SLV,El Salvador,2024,79.8,82.17
SWZ,Eswatini,2024,46.55,58.15
ETH,Ethiopia,2024,7.17,20.86
GAB,Gabon,2024,66.26,71.05
GMB,"Gambia, The",2024,66.57,62.99
GEO,Georgia,2024,82.89,80.65
GHA,Ghana,2024,47.74,62.36
GTM,Guatemala,2024,64.86,78.03
GIN,Guinea,2024,25.4,36.65
HND,Honduras,2024,76.3,74.04
IND,India,2024,36.33,54.97
IDN,Indonesia,2024,70.07,70.85
IRN,"Iran, Islamic Rep.",2024,77.82,77.14
IRQ,Iraq,2024,65.47,86.17
JOR,Jordan,2024,89.43,89.12
KAZ,Kazakhstan,2024,87.71,89.13
KEN,Kenya,2024,49.63,71.86
XKX,Kosovo,2024,96.11,95.56
KGZ,Kyrgyz Republic,2024,92.17,91.88
LAO,Lao PDR,2024,73.36,66.97
LBN,Lebanon,2024,93.4,95.02
LSO,Lesotho,2024,47.51,43.98
LBR,Liberia,2024,29.56,36.28
LBY,Libya,2024,81.95,79.09
MDG,Madagascar,2024,7.52,14.91
MWI,Malawi,2024,17.82,23.44
MYS,Malaysia,2024,86.79,86.99
MLI,Mali,2024,40.26,51.9
MRT,Mauritania,2024,56.87,63.04
MUS,Mauritius,2024,72.52,81.88
MEX,Mexico,2024,75.03,80.22
MDA,Moldova,2024,78.45,78.93
MNG,Mongolia,2024,89.39,84.1
MNE,Montenegro,2024,83.56,84.08
MAR,Morocco,2024,62.57,67.09
MOZ,Mozambique,2024,19.99,34.28
NAM,Namibia,2024,56.48,56.33
NPL,Nepal,2024,42.89,58.13
NIC,Nicaragua,2024,73.99,75.53
NER,Niger,2024,13.85,17.37
NGA,Nigeria,2024,30.74,44.73
MKD,North Macedonia,2024,82.67,83.73
PAK,Pakistan,2024,13.6,57.21
PRY,Paraguay,2024,85.2,82.42
PER,Peru,2024,74.25,82.09
PHL,Philippines,2024,74.04,67.28
SEN,Senegal,2024,67.76,72.68
SRB,Serbia,2024,77.4,81.25
SLE,Sierra Leone,2024,32.72,32.79
ZAF,South Africa,2024,65.61,71.39
LKA,Sri Lanka,2024,36.87,49.88
TJK,Tajikistan,2024,55.19,70.23
TZA,Tanzania,2024,15.58,25.91
THA,Thailand,2024,86.45,85.08
TGO,Togo,2024,35.88,51.86
TUN,Tunisia,2024,64.69,71.42
TUR,Turkiye,2024,83.67,91.35
UGA,Uganda,2024,30.48,47.15
UKR,Ukraine,2024,93.31,96.68
UZB,Uzbekistan,2024,69.25,78.52
VEN,"Venezuela, RB",2024,88.14,90.68
VNM,Viet Nam,2024,87.17,88.62
PSE,West Bank and Gaza,2024,93.7,94.45
ZMB,Zambia,2024,31.42,46.97
ZWE,Zimbabwe,2024,26.95,36.99
