country_code,country_name,flfp,gdp_pc_ppp,internet_total,sec_enroll_fem_gross,urban_pct,flfp_year,gdp_pc_ppp_year,internet_total_year,sec_enroll_fem_gross_year,urban_pct_year
AFG,Afghanistan,5.123,1964.45228895456,16.09499931,45.1596908569336,25.7007352636188,2024,2024,2024,2023,2024
ALB,Albania,58.154,21640.9835773271,85.86389923,106.71573638916,58.5463634043555,2024,2024,2024,2024,2024
DZA,Algeria,14.306,15501.9197003966,77.4178009,106.533807793893,75.2792907190618,2024,2024,2024,2024,2024
AGO,Angola,72.359,8752.7974709833,40.70479965,48.1175394651696,70.6551379036435,2024,2024,2024,2023,2024
ARG,Argentina,52.281,26771.9657650571,89.66715228,107.980730920017,92.2742315972952,2024,2024,2024,2023,2024
ARM,Armenia,51.586,20078.7848984844,81.33930206,90.1346954711088,65.8113671449901,2024,2024,2024,2024,2024
AZE,Azerbaijan,61.35,22090.5298026929,90.43979645,89.60752233538,58.573795837717,2024,2024,2024,2024,2024
BGD,Bangladesh,38.708,8486.78495660517,53.42171316,70.4720309842244,32.6783196323307,2024,2024,2024,2024,2024
BLR,Belarus,57.229,29135.9465139232,94.26182128,95.0767756373877,79.1551015210848,2024,2024,2024,2024,2024
BLZ,Belize,43.833,12621.4081961897,80.00582262,87.4232987312572,41.7532107338224,2024,2024,2024,2024,2024
BEN,Benin,74.985,3901.32588494392,33.98379898,40.2818489074707,52.5455354818423,2024,2024,2024,2022,2024
BTN,Bhutan,56.636,15603.8871298469,91.27739716,94.0369291275477,42.5645249803412,2024,2024,2024,2024,2024
BOL,Bolivia,72.389,11329.1518061536,79.70469666,90.2157592773438,71.2361453773988,2024,2024,2024,2024,2024
BIH,Bosnia and Herzegovina,39.399,20578.4995446816,86.10091103,90.4367218017578,52.1224302754935,2024,2024,2024,2023,2024
BWA,Botswana,63.45,18107.614452913,57.45950036,74.0652465820312,67.4623537838418,2024,2024,2024,2021,2024
BRA,Brazil,53.576,19652.365499171,84.46347227,105.251502990723,87.8958549533146,2024,2024,2024,2024,2024
BFA,Burkina Faso,64.113,2548.50247702504,28.25270081,33.2389182465594,28.3352514896662,2024,2024,2024,2024,2024
BDI,Burundi,79.728,1048.05557098193,8.595999718,NA,24.8302838651025,2024,2024,2024,NA,2024
CPV,Cabo Verde,50.429,9825.53410093619,74.73519897,103.582593697222,76.7721471004354,2024,2024,2024,2022,2024
KHM,Cambodia,77.299,7011.58146903703,68.47530365,63.098667348683,40.8727033252729,2024,2024,2024,2024,2024
CMR,Cameroon,57.104,4916.93354019494,46.25880051,42.4944197803389,55.4031748609078,2024,2024,2024,2023,2024
CAF,Central African Republic,65.544,1111.21941638883,13.78250027,NA,44.1243555638904,2024,2024,2024,NA,2024
TCD,Chad,47.554,2430.73298355271,12.62689972,19.4390107130432,26.9315292389497,2024,2024,2024,2024,2024
CHN,China,59.448,23841.4769141817,92,NA,65.8946980998325,2024,2024,2024,NA,2024
COL,Colombia,51.719,18481.8374929368,79.34543299,103.587738037109,78.5210811866115,2024,2024,2024,2022,2024
COM,Comoros,47.126,3556.0384263801,32.51750183,56.4125595092773,33.5392215673301,2024,2024,2024,2022,2024
COD,"Congo, Dem. Rep.",61.886,1601.70926640422,19.67350006,42.9527015686035,44.7455804408753,2024,2024,2024,2021,2024
COG,"Congo, Rep.",65.604,6152.5650911844205,47.25159836,NA,63.8866111699904,2024,2024,2024,NA,2024
CIV,Cote d'Ivoire,59.465,6747.0379677706,41.43219902,64.4785040152839,53.9733113940142,2024,2024,2024,2024,2024
CUB,Cuba,40.393,NA,70.47699738,92.6143549896492,77.1664929228275,2024,NA,2024,2024,2024
DJI,Djibouti,19.235,6871.12440453129,65.29889679,NA,72.9052635052978,2024,2024,2024,NA,2024
DMA,Dominica,NA,18739.3640404986,82.04689789,96.3274307250977,73.5449839980866,NA,2024,2024,2023,2024
DOM,Dominican Republic,53.266,24229.8894872915,91.0022446,80.5245385688015,72.4121874752151,2024,2024,2024,2024,2024
ECU,Ecuador,52.394,13922.4222780744,77.17273115,94.1827583420861,63.2376932397602,2024,2024,2024,2023,2024
EGY,"Egypt, Arab Rep.",18.468,16798.151577838,74.64839935,83.9216814420657,42.8004363938404,2024,2024,2024,2024,2024
SLV,El Salvador,48.957,11647.0234480127,66.47769928,61.1295384065253,75.0674905102199,2024,2024,2024,2024,2024
GNQ,Equatorial Guinea,53.044,14997.7564392976,63.29930115,NA,71.3574028749806,2024,2024,2024,NA,2024
ERI,Eritrea,72.854,NA,NA,40.2760810852051,34.5365524291992,2024,NA,NA,2022,2024
SWZ,Eswatini,48.422,10386.2145717572,63.40309906,NA,26.2498461258639,2024,2024,2024,NA,2024
ETH,Ethiopia,58.391,2892.22220162795,21.94129944,NA,23.6222839355469,2024,2024,2024,NA,2024
FJI,Fiji,38.501,13592.4635937435,74.7052002,99.1615984606398,59.0766602292457,2024,2024,2024,2024,2024
GAB,Gabon,41.808,18923.6616609778,68.72090149,NA,91.8632094677575,2024,2024,2024,NA,2024
GMB,"Gambia, The",45.428,3057.6841778633,49.49430084,116.372766553778,64.2994103409645,2024,2024,2024,2021,2024
GEO,Georgia,56.673,24146.6234108645,83.79855689,97.8280378119792,61.0789605093733,2024,2024,2024,2024,2024
GHA,Ghana,55.733,7072.79879594445,72.17569733,76.4284133911133,58.3654868038581,2024,2024,2024,2024,2024
GRD,Grenada,NA,17484.5153919556,70.16159821,101.705209063303,36.5628000454229,NA,2024,2024,2024,2024
GTM,Guatemala,38.42,12643.9841235004,60.22140121,50.4821609334209,55.9547027274763,2024,2024,2024,2024,2024
GIN,Guinea,42.882,4016.34191385979,33.30469894,NA,38.0713036688655,2024,2024,2024,NA,2024
GNB,Guinea-Bissau,60.17,2717.54206972499,29.77739906,NA,46.113204421822,2024,2024,2024,NA,2024
HTI,Haiti,58.321,2783.79140882788,47.8614006,NA,55.0372652481002,2024,2024,2024,NA,2024
HND,Honduras,39.617,6590.84384301553,58.62269974,56.205606327767,58.7850728104829,2024,2024,2024,2024,2024
IND,India,32.415,9416.05137044735,64.9434967,78.7182686071249,35.3788972368389,2024,2024,2024,2024,2024
IDN,Indonesia,53.588,14470.7179806578,72.78075544,98.6691707526139,58.7509635387997,2024,2024,2024,2024,2024
IRN,"Iran, Islamic Rep.",14.144,17484.1320140467,85.3404007,86.1972427368164,77.0201263427734,2024,2024,2024,2023,2024
IRQ,Iraq,11.003,12725.0431260364,81.47450256,NA,69.8861494108913,2024,2024,2024,NA,2024
JAM,Jamaica,62.913,11340.2638800451,90.10870361,84.6436233520508,58.9301585439922,2024,2024,2024,2024,2024
JOR,Jordan,16.008,10468.265334284,95.62244985,92.9268253048268,92.9501393764286,2024,2024,2024,2024,2024
KAZ,Kazakhstan,65.291,35973.9633287017,93.39167254,96.7445196567945,62.072531584162,2024,2024,2024,2024,2024
KEN,Kenya,63.012,5841.59866001706,34.97622513,84.7505339840655,31.8937831721599,2024,2024,2024,2023,2024
KIR,Kiribati,NA,3275.00186630433,89.44029999,94.4197769165039,62.4620431275642,NA,2024,2024,2024,2024
PRK,"Korea, Dem. People's Rep.",77.722,NA,NA,NA,63.8589748211522,2024,NA,NA,NA,2024
XKX,Kosovo,NA,15716.2925564586,NA,NA,50.3214443938994,NA,2024,NA,NA,2024
KGZ,Kyrgyz Republic,44.256,7210.57669830499,92.0286026,92.5232415743903,34.7219977865937,2024,2024,2024,2024,2024
LAO,Lao PDR,61.466,8600.3245466568,65.59269714,50.9977217073246,39.5552154401406,2024,2024,2024,2024,2024
LBN,Lebanon,22.234,10469.2210966932,80.63400269,67.5449829101562,90.703695784554,2023,2024,2024,2024,2024
LSO,Lesotho,48.457,2697.62738436647,51.79660034,NA,43.6780334209246,2024,2024,2024,NA,2024
LBR,Liberia,72.021,1646.05861366601,32.23360062,NA,55.5387986654968,2024,2024,2024,NA,2024
LBY,Libya,33.28,12583.8338726816,81.95449829,NA,87.8854066107749,2024,2024,2024,NA,2024
MDG,Madagascar,82.915,1659.15030770194,18.67790031,35.2580222250234,32.4339893339844,2024,2024,2024,2021,2024
MWI,Malawi,58.534,1634.24660266597,18.96159935,37.2564052253575,17.268503531213,2024,2024,2024,2023,2024
MYS,Malaysia,51.617,34116.2317848885,98.0206059,81.5357622372136,76.9170296648992,2024,2024,2024,2024,2024
MDV,Maldives,40.455,23034.4098404839,85.23999786,84.9893523087311,41.9982152717385,2024,2024,2024,2023,2024
MLI,Mali,53.093,2917.93245883671,36.80149841,37.1307560416794,31.6075621182225,2024,2024,2024,2023,2024
MHL,Marshall Islands,NA,7236.8679376649,65.915802,91.2586144359811,78.7325660244112,NA,2024,2024,2024,2024
MRT,Mauritania,26.239,6482.69016635936,45.77939987,NA,60.6068586411829,2024,2024,2024,NA,2024
MUS,Mauritius,47.45,27844.8956114831,73.30793533,93.386946088039707,39.0162147027917,2024,2024,2024,2024,2024
MEX,Mexico,47.414,21970.3520412926,83.12233799,109.978668212891,79.7538805976118,2024,2024,2024,2024,2024
FSM,"Micronesia, Fed. Sts.",NA,3911.26631940407,39.52360153,NA,22.4562830235421,NA,2024,2024,NA,2024
MDA,Moldova,72.177,16393.8633257184,77.3687973,99.3201300620751,43.516471862793,2024,2024,2024,2024,2024
MNG,Mongolia,52.1,16842.6505873797,85.12349701,99.3672996596348,70.9566040039062,2024,2024,2024,2023,2024
MNE,Montenegro,51.429,28105.5927726624,88.88258428,95.1452331542969,65.5422314706266,2024,2024,2024,2023,2024
MAR,Morocco,19.827,9162.7470703125,91.2,91.2537211746273,62.7998124018197,2024,2024,2024,2024,2024
MOZ,Mozambique,77.206,1500.70758504856,20.52729988,NA,36.4332337447237,2024,2024,2024,NA,2024
MMR,Myanmar,40.959,5276.29433987853,NA,NA,30.4499084074136,2024,2024,NA,NA,2024
NAM,Namibia,54.911,10276.3686426386,64.87460327,86.3728889011327,50.4088030252155,2024,2024,2024,2024,2024
NPL,Nepal,27.378,5047.42449022702,46.32189941,90.8899312933145,66.772343163029,2024,2024,2024,2024,2024
NIC,Nicaragua,51.082,7661.09410113202,61.39550018,70.6665573120117,59.2628402709961,2024,2024,2024,2023,2024
NER,Niger,72.787,1795.65266888022,15.55760002,19.5379934744263,18.0497398450803,2024,2024,2024,2024,2024
NGA,Nigeria,80.714,7994.03754470824,41.21139908,47.4061508178711,62.9755675573659,2024,2024,2024,2023,2024
MKD,North Macedonia,42.884,24203.1855800189,93.6,90.173713684082,62.5645376928533,2024,2024,2024,2023,2024
PAK,Pakistan,23.989,5502.0736120186,57.253,46.4835415439493,39.1734368360905,2024,2024,2024,2024,2024
PNG,Papua New Guinea,50.697,4292.71205430013,18.81159973,48.1780291095574,15.4061816403333,2024,2024,2024,2023,2024
PRY,Paraguay,58.944,16367.4940166481,81.57806793,80.8023312507795,69.8622585886961,2024,2024,2024,2024,2024
PER,Peru,64.939,15708.8329440963,81.95705992,108.98267364502,85.1912729600355,2024,2024,2024,2024,2024
PHL,Philippines,50.511,10378.1717703535,67.26300914,86.1154588164975,55.4520983215477,2024,2024,2024,2024,2024
RWA,Rwanda,57.099,3325.00769683815,31.70330048,53.3234802182678,29.8849714294083,2024,2024,2024,2024,2024
WSM,Samoa,31.145,7687.23425552485,NA,NA,17.5029115108018,2024,2024,NA,NA,2024
STP,Sao Tome and Principe,22.771,5511.87785469752,59.11759949,NA,68.8710170184884,2024,2024,2024,NA,2024
SEN,Senegal,37.99,4477.81736836258,60.11780167,50.2150531512901,55.2368169057304,2024,2024,2024,2023,2024
SRB,Serbia,52.619,26900.7415340646,87.69071294,88.5398788452148,62.3830029804177,2024,2024,2024,2024,2024
SLE,Sierra Leone,51.815,3098.76290446676,25.10499954,91.7119293212891,45.3626823156371,2024,2024,2024,2023,2024
SLB,Solomon Islands,82.328,2353.54960111186,29.04070091,NA,30.6617188562194,2024,2024,2024,NA,2024
SOM,"Somalia, Fed. Rep.",20.722,1409.33492233283,27.94020081,2.75847005844116,54.6176465524521,2024,2024,2024,2023,2024
ZAF,South Africa,49.801,13597.6538495998,78.35759735,107.464974022043,63.6917984858172,2024,2024,2024,2023,2024
SSD,South Sudan,70.393,NA,NA,110.429168701172,21.3768190444906,2023,NA,NA,2024,2024
LKA,Sri Lanka,30.998,13793.0669827677,54.59,90.4491165297148,20.2996997058686,2024,2024,2024,2023,2024
LCA,St. Lucia,61.885,24699.9694711589,68.20500183,91.621762558665,29.0973354237452,2024,2024,2024,2024,2024
VCT,St. Vincent and the Grenadines,59.253,18714.198849353,76.19010162,125.951193912359,47.8487050456749,2024,2024,2024,2024,2024
SDN,Sudan,14.452,1861.39794921875,NA,NA,34.8673015510839,2022,2024,NA,NA,2024
SUR,Suriname,44.887,19179.101839106,87.4,78.089997077636,65.7641857200885,2024,2024,2023,2022,2024
SYR,Syrian Arab Republic,12.772,4579.43973633341,NA,41.8100318908691,72.0761345758254,2024,2022,NA,2024,2024
TJK,Tajikistan,21.946,4755.93296704719,55.79339981,82.8936127916098,26.1788063651548,2024,2024,2024,2024,2024
TZA,Tanzania,80.288,3713.26293945313,31.16209984,29.2047595977783,36.1684458862992,2024,2024,2024,2021,2024
THA,Thailand,59.473,21882.2142474833,90.86718789,94.0628144371624,61.8689338391321,2024,2024,2024,2024,2024
TLS,Timor-Leste,61.457,3890.95754653453,35.04199982,NA,28.6641074179574,2024,2024,2021,NA,2024
TGO,Togo,56.604,3351.24993111939,39.48320007,59.0849653049812,43.8148491605996,2024,2024,2024,2023,2024
TON,Tonga,42.5,7180.98743332878,67.4417038,96.0905349794239,21.1505271125521,2024,2024,2024,2024,2024
TUN,Tunisia,26.635,12774.9158568021,76.5,NA,70.3585355691955,2024,2024,2024,NA,2024
TUR,Turkiye,36.786,36154.490436557,87.3078767,116.872711181641,89.3443122873887,2024,2024,2024,2023,2024
TKM,Turkmenistan,38.35,18470.7438450744,NA,94.7373803445767,47.0875253910294,2024,2024,NA,2024,2024
TUV,Tuvalu,NA,5592.18723602659,NA,104.399323181049,64.7254793441291,NA,2024,NA,2024,2024
UGA,Uganda,75.556,2879.67009290376,8.949831061,NA,31.2777698213557,2024,2024,2024,NA,2024
UKR,Ukraine,47.738,16371.44140625,82.47489929,86.3840713500977,69.5315643200148,2021,2024,2024,2024,2024
UZB,Uzbekistan,41.273,10997.1707291644,89.50550079,96.4939184204858,50.9986686706543,2024,2024,2024,2024,2024
VUT,Vanuatu,53.531,3837.03937446048,NA,134.925790252936,22.2866933360645,2024,2024,NA,2023,2024
VEN,"Venezuela, RB",37.332,NA,76.67890167,102.248580932617,89.285859883201,2024,NA,2024,2024,2024
VNM,Viet Nam,68.905,14396.4217369473,84.15,90.5445572317873,38.4900703430176,2024,2024,2024,2022,2024
PSE,West Bank and Gaza,18.934,4190.90911333626,86.63765334,92.1529721719084,87.1196014117004,2022,2024,2023,2023,2024
YEM,"Yemen, Rep.",4.705,NA,NA,NA,36.8077517596594,2024,NA,NA,NA,2024
ZMB,Zambia,56.366,3708.06904295647,17.10099983,59.0707702636719,45.4703838491279,2024,2024,2024,2024,2024
ZWE,Zimbabwe,62.115,5211.89755587954,41.64279938,NA,39.8933716820696,2024,2024,2024,NA,2024
