country_code,country_name,gender_inequality_index,gii_year
AFG,Afghanistan,0.661,2023
ALB,Albania,0.107,2023
DZA,Algeria,0.443,2023
AGO,Angola,0.515,2023
ARG,Argentina,0.264,2023
ARM,Armenia,0.18,2023
AZE,Azerbaijan,0.315,2023
BGD,Bangladesh,0.487,2023
BLR,Belarus,0.08,2023
BLZ,Belize,0.428,2023
BEN,Benin,0.573,2023
BTN,Bhutan,0.278,2023
BOL,Bolivia (Plurinational State of),0.419,2023
BIH,Bosnia and Herzegovina,0.157,2023
BWA,Botswana,0.49,2023
BRA,Brazil,0.39,2023
BFA,Burkina Faso,0.555,2023
BDI,Burundi,0.501,2023
CPV,Cabo Verde,0.298,2023
KHM,Cambodia,0.506,2023
CMR,Cameroon,0.558,2023
TCD,Chad,0.67,2023
CHN,China,0.132,2023
COL,Colombia,0.393,2023
COM,Comoros,0.501,2023
COG,Congo,0.565,2023
COD,Congo (Democratic Republic of the),0.604,2023
CUB,Cuba,0.296,2023
CIV,Côte d'Ivoire,0.589,2023
DJI,Djibouti,0.481,2023
DOM,Dominican Republic,0.417,2023
ECU,Ecuador,0.358,2023
EGY,Egypt,0.398,2023
SLV,El Salvador,0.362,2023
SWZ,Eswatini (Kingdom of),0.484,2023
ETH,Ethiopia,0.497,2023
FJI,Fiji,0.35,2023
GAB,Gabon,0.505,2023
GMB,Gambia,0.578,2023
GEO,Georgia,0.257,2023
GHA,Ghana,0.514,2023
GRD,Grenada,0.226,2023
GTM,Guatemala,0.48,2023
GIN,Guinea,0.609,2023
GNB,Guinea-Bissau,0.632,2023
HTI,Haiti,0.618,2023
HND,Honduras,0.437,2023
IND,India,0.403,2023
IDN,Indonesia,0.423,2023
IRN,Iran (Islamic Republic of),0.482,2023
IRQ,Iraq,0.558,2023
JAM,Jamaica,0.358,2023
JOR,Jordan,0.433,2023
KAZ,Kazakhstan,0.182,2023
KEN,Kenya,0.526,2023
KGZ,Kyrgyzstan,0.34,2023
LAO,Lao People's Democratic Republic,0.475,2023
LBN,Lebanon,0.36,2023
LSO,Lesotho,0.534,2023
LBR,Liberia,0.646,2023
LBY,Libya,0.253,2023
MDG,Madagascar,0.584,2023
MWI,Malawi,0.581,2023
MYS,Malaysia,0.172,2023
MDV,Maldives,0.309,2023
MLI,Mali,0.612,2023
MRT,Mauritania,0.603,2023
MUS,Mauritius,0.352,2023
MEX,Mexico,0.358,2023
MDA,Moldova (Republic of),0.146,2023
MNG,Mongolia,0.284,2023
MNE,Montenegro,0.121,2023
MAR,Morocco,0.438,2023
MOZ,Mozambique,0.479,2023
MMR,Myanmar,0.478,2023
NAM,Namibia,0.448,2023
NPL,Nepal,0.487,2023
NIC,Nicaragua,0.408,2023
NER,Niger,0.591,2023
NGA,Nigeria,0.677,2023
MKD,North Macedonia,0.112,2023
PAK,Pakistan,0.536,2023
PNG,Papua New Guinea,0.584,2023
PRY,Paraguay,0.412,2023
PER,Peru,0.34,2023
PHL,Philippines,0.351,2023
RWA,Rwanda,0.394,2023
LCA,Saint Lucia,0.327,2023
WSM,Samoa,0.416,2023
STP,Sao Tome and Principe,0.492,2023
SEN,Senegal,0.49,2023
SRB,Serbia,0.117,2023
SLE,Sierra Leone,0.566,2023
SLB,Solomon Islands,0.478,2023
SOM,Somalia,0.675,2023
ZAF,South Africa,0.388,2023
LKA,Sri Lanka,0.367,2023
SDN,Sudan,0.588,2023
SUR,Suriname,0.391,2023
SYR,Syrian Arab Republic,0.49,2023
TJK,Tajikistan,0.258,2023
TZA,Tanzania (United Republic of),0.504,2023
THA,Thailand,0.288,2023
TLS,Timor-Leste,0.394,2023
TGO,Togo,0.564,2023
TON,Tonga,0.444,2023
TUN,Tunisia,0.238,2023
TUR,Türkiye,0.227,2023
UGA,Uganda,0.524,2023
UZB,Uzbekistan,0.291,2023
VUT,Vanuatu,0.556,2023
VEN,Venezuela (Bolivarian Republic of),0.512,2023
VNM,Viet Nam,0.299,2023
YEM,Yemen,0.838,2023
ZMB,Zambia,0.524,2023
ZWE,Zimbabwe,0.519,2023
