country,region,income,source,ref_year,internet_female,internet_male,gap_diff,gap_ratio,gdp_pc_ppp,flfp,enroll_fem,internet_total,urban_pct,gii,log_gdp
Albania,Europe & Central Asia,Upper middle income,Findex 2024,2024,86.6789183447289,78.6354182285826,-8.043500116146305,1.102288514480395,21640.9835773271,58.154,106.71573638916,85.86389923,58.5463634043555,0.107,9.982344183744848
Algeria,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,Findex 2024,2024,83.4562329097548,82.3850163944107,-1.071216515344105,1.0130025648136762,15501.9197003966,14.306,106.533807793893,77.4178009,75.2792907190618,0.443,9.648719146876847
Argentina,Latin America & Caribbean,Upper middle income,Findex 2024,2024,90.1052815793255,85.9173019671556,-4.1879796121699115,1.0487443101247629,26771.9657650571,52.281,107.980730920017,89.66715228,92.2742315972952,0.264,10.195110565460455
Armenia,Europe & Central Asia,Upper middle income,Findex 2024,2024,90.8694424523217,83.3786206594297,-7.490821792892007,1.0898410375903098,20078.7848984844,51.586,90.1346954711088,81.33930206,65.8113671449901,0.18,9.907419058950993
Azerbaijan,Europe & Central Asia,Upper middle income,Findex 2024,2024,84.5633955497302,88.24173232181191,3.678336772081707,0.9583152248341288,22090.5298026929,61.35,89.60752233538,90.43979645,58.573795837717,0.315,10.002904279951494
Bangladesh,South Asia,Lower middle income,Findex 2024,2024,37.9027519095372,49.4201109745108,11.517359064973595,0.766949955435878,8486.78495660517,38.708,70.4720309842244,53.42171316,32.6783196323307,0.487,9.046265521673547
Belarus,Europe & Central Asia,Upper middle income,ITU,2024,94.6534,93.6995,-0.9539000000000044,1.0101804171847235,29135.9465139232,57.229,95.0767756373877,94.26182128,79.1551015210848,0.08,10.27972796622721
Belize,Latin America & Caribbean,Upper middle income,Findex 2024,2024,87.84575140467959,84.02153926571249,-3.8242121389670984,1.0455146641252702,12621.4081961897,43.833,87.4232987312572,80.00582262,41.7532107338224,0.428,9.443149714354247
Benin,Sub-Saharan Africa,Lower middle income,Findex 2024,2024,28.3606061944907,41.1532652377931,12.7926590433024,0.6891459530760572,3901.32588494392,74.985,40.2818489074707,33.98379898,52.5455354818423,0.573,8.269071744839303
Bhutan,South Asia,Lower middle income,ITU,2021,86.2535,84.7856,-1.4679000000000002,1.0173130814666642,13458.812666743,64.902,100.878047817838,85.636883889999993,40.3075199874379,0.266,9.507389387327352
