iso3,country,region,income,ref_year_itu,internet_female_itu,internet_male_itu,gap_diff_itu,gap_ratio_itu,internet_female_fx,internet_male_fx,gap_diff_fx,gap_ratio_fx,source,ref_year,internet_female,internet_male,gap_diff,gap_ratio,gdp_pc_ppp,gdp_pc_ppp_year,gdp_pc_const,gdp_pc_const_year,flfp,flfp_year,sec_enroll_fem_gross,sec_enroll_fem_gross_year,sec_enroll_fem_net,sec_enroll_fem_net_year,urban_pct,urban_pct_year,gii,gii_year,internet_total,internet_total_year,population,population_year,log_gdp,is_outlier
ALB,Albania,Europe & Central Asia,Upper middle income,2023,81.7239,84.59,2.866100000000003,0.9661177444142334,86.6789183447289,78.6354182285826,-8.043500116146305,1.102288514480395,Findex 2024,2024,86.6789183447289,78.6354182285826,-8.043500116146305,1.102288514480395,21640.9835773271,2024,6549.23387415397,2024,58.154,2024,106.71573638916,2024,NA,NA,58.5463634043555,2024,0.107,2023,85.86389923,2024,2377128,2024,9.982344183744848,FALSE
DZA,Algeria,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,NA,NA,NA,NA,NA,83.4562329097548,82.3850163944107,-1.071216515344105,1.0130025648136762,Findex 2024,2024,83.4562329097548,82.3850163944107,-1.071216515344105,1.0130025648136762,15501.9197003966,2024,4765.72900168387,2024,14.306,2024,106.533807793893,2024,NA,NA,75.2792907190618,2024,0.443,2023,77.4178009,2024,46814308,2024,9.648719146876847,FALSE
ARG,Argentina,Latin America & Caribbean,Upper middle income,2024,89.1403,90.222,1.081699999999998,0.9880106847553812,90.1052815793255,85.9173019671556,-4.1879796121699115,1.0487443101247629,Findex 2024,2024,90.1052815793255,85.9173019671556,-4.1879796121699115,1.0487443101247629,26771.9657650571,2024,12774.3506596628,2024,52.281,2024,107.980730920017,2023,NA,NA,92.2742315972952,2024,0.264,2023,89.66715228,2024,45696159,2024,10.195110565460455,FALSE
ARM,Armenia,Europe & Central Asia,Upper middle income,2023,81.8635,77.8794,-3.984099999999998,1.0511573021877416,90.8694424523217,83.3786206594297,-7.490821792892007,1.0898410375903098,Findex 2024,2024,90.8694424523217,83.3786206594297,-7.490821792892007,1.0898410375903098,20078.7848984844,2024,5378.31799981682,2024,51.586,2024,90.1346954711088,2024,NA,NA,65.8113671449901,2024,0.18,2023,81.33930206,2024,3033500,2024,9.907419058950993,FALSE
AZE,Azerbaijan,Europe & Central Asia,Upper middle income,2023,85.3964,92.6833,7.286900000000003,0.92137850076551,84.5633955497302,88.24173232181191,3.678336772081707,0.9583152248341288,Findex 2024,2024,84.5633955497302,88.24173232181191,3.678336772081707,0.9583152248341288,22090.5298026929,2024,5876.03295533913,2024,61.35,2024,89.60752233538,2024,NA,NA,58.573795837717,2024,0.315,2023,90.43979645,2024,10202830,2024,10.002904279951494,FALSE
BGD,Bangladesh,South Asia,Lower middle income,2024,50.0558,56.8579,6.802100000000003,0.8803666684840629,37.9027519095372,49.4201109745108,11.517359064973595,0.766949955435878,Findex 2024,2024,37.9027519095372,49.4201109745108,11.517359064973595,0.766949955435878,8486.78495660517,2024,1941.27874360025,2024,38.708,2024,70.4720309842244,2024,NA,NA,32.6783196323307,2024,0.487,2023,53.42171316,2024,173562364,2024,9.046265521673547,FALSE
BLR,Belarus,Europe & Central Asia,Upper middle income,2024,94.6534,93.6995,-0.9539000000000044,1.0101804171847235,NA,NA,NA,NA,ITU,2024,94.6534,93.6995,-0.9539000000000044,1.0101804171847235,29135.9465139232,2024,6814.34443423546,2024,57.229,2024,95.0767756373877,2024,NA,NA,79.1551015210848,2024,0.08,2023,94.26182128,2024,9132629,2024,10.27972796622721,FALSE
BLZ,Belize,Latin America & Caribbean,Upper middle income,2024,81.712,78.2689,-3.443100000000001,1.043990652736911,87.84575140467959,84.02153926571249,-3.8242121389670984,1.0455146641252702,Findex 2024,2024,87.84575140467959,84.02153926571249,-3.8242121389670984,1.0455146641252702,12621.4081961897,2024,6290.49294452749,2024,43.833,2024,87.4232987312572,2024,NA,NA,41.7532107338224,2024,0.428,2023,80.00582262,2024,417072,2024,9.443149714354247,FALSE
BEN,Benin,Sub-Saharan Africa,Lower middle income,NA,NA,NA,NA,NA,28.3606061944907,41.1532652377931,12.7926590433024,0.6891459530760572,Findex 2024,2024,28.3606061944907,41.1532652377931,12.7926590433024,0.6891459530760572,3901.32588494392,2024,1324.78312597434,2024,74.985,2024,40.2818489074707,2022,NA,NA,52.5455354818423,2024,0.573,2023,33.98379898,2024,14462724,2024,8.269071744839303,FALSE
BTN,Bhutan,South Asia,Lower middle income,2021,86.2535,84.7856,-1.4679000000000002,1.0173130814666642,NA,NA,NA,NA,ITU,2021,86.2535,84.7856,-1.4679000000000002,1.0173130814666642,13458.812666743,2021,3206.20366997254,2021,64.902,2021,100.878047817838,2021,76.54685,2018,40.3075199874379,2021,0.266,2021,85.636883889999993,2021,775442,2021,9.507389387327352,FALSE
