iso3,country,region,income,ref_year,internet_female,internet_male,gap_diff,gap_ratio,sec_enroll_fem_net,population,gdp_pc_ppp,gdp_pc_ppp_year,gdp_pc_const,gdp_pc_const_year,flfp,flfp_year,sec_enroll_fem_gross,sec_enroll_fem_gross_year,urban_pct,urban_pct_year,gii,gii_year,internet_total,internet_total_year
ALB,Albania,Europe & Central Asia,Upper middle income,2023,81.7239,84.59,2.866100000000003,0.9661177444142334,NA,2411658,20501.6470726741,2023,6204.43525612114,2023,57.963,2023,92.6682931237011,2023,58.2106086137857,2023,0.107,2023,83.13559161,2023
ARG,Argentina,Latin America & Caribbean,Upper middle income,2024,89.1403,90.222,1.0816999999999979,0.9880106847553812,NA,45696159,26771.9657650571,2024,12774.3506596628,2024,52.281,2024,107.980730920017,2023,92.2742315972952,2024,0.264,2023,89.66715228,2024
ARM,Armenia,Europe & Central Asia,Upper middle income,2023,81.8635,77.8794,-3.984099999999998,1.0511573021877416,NA,2964300,19402.7510915578,2023,5197.23509013575,2023,51.517,2023,88.2232017685754,2023,65.6956882008852,2023,0.18,2023,79.99663036,2023
AZE,Azerbaijan,Europe & Central Asia,Upper middle income,2023,85.3964,92.6833,7.286900000000003,0.9213785007655101,NA,10153958,21310.7386915022,2023,5668.61021317029,2023,61.748,2023,90.9502304680864,2023,58.5075350483702,2023,0.315,2023,89,2023
BGD,Bangladesh,South Asia,Lower middle income,2024,50.0558,56.8579,6.802100000000003,0.8803666684840629,NA,173562364,8486.78495660517,2024,1941.27874360025,2024,38.708,2024,70.4720309842244,2024,32.6783196323307,2024,0.487,2023,53.42171316,2024
BLR,Belarus,Europe & Central Asia,Upper middle income,2024,94.6534,93.6995,-0.9539000000000044,1.0101804171847235,NA,9132629,29135.9465139232,2024,6814.34443423546,2024,57.229,2024,95.0767756373877,2024,79.1551015210848,2024,0.08,2023,94.26182128,2024
BLZ,Belize,Latin America & Caribbean,Upper middle income,2024,81.712,78.2689,-3.443100000000001,1.043990652736911,NA,417072,12621.4081961897,2024,6290.49294452749,2024,43.833,2024,87.4232987312572,2024,41.7532107338224,2024,0.428,2023,80.00582262,2024
BTN,Bhutan,South Asia,Lower middle income,2021,86.2535,84.7856,-1.4679000000000002,1.0173130814666642,NA,775442,13458.812666743,2021,3206.20366997254,2021,64.902,2021,100.878047817838,2021,40.3075199874379,2021,0.266,2021,85.636883889999993,2021
BOL,Bolivia,Latin America & Caribbean,Lower middle income,2021,63.7076,68.3228,4.6152000000000015,0.9324500752311088,NA,11937360,11202.4409836707,2021,3011.55110825301,2021,71.057,2021,90.1926069467688,2021,70.3450412826165,2021,0.423,2021,65.9773785,2021
BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,2024,84.716,87.3019,2.5859000000000094,0.9703797970032725,NA,3164253,20578.4995446816,2024,6746.95366547249,2024,39.399,2024,90.4367218017578,2023,52.1224302754935,2024,0.157,2023,86.10091103,2024
BWA,Botswana,Sub-Saharan Africa,Upper middle income,2024,57.9562,56.895,-1.0611999999999995,1.0186519026276475,NA,2521139,18107.614452913,2024,6952.34770386661,2024,63.45,2024,74.0652465820312,2021,67.4623537838418,2024,0.49,2023,57.45950036,2024
BRA,Brazil,Latin America & Caribbean,Upper middle income,2024,83.7948,85.1736,1.3787999999999982,0.9838118853729325,NA,211998573,19652.365499171,2024,9566.74518687619,2024,53.576,2024,105.251502990723,2024,87.8958549533146,2024,0.39,2023,84.46347227,2024
BFA,Burkina Faso,Sub-Saharan Africa,Low income,2019,6.61695,12.2789,5.66195,0.5388878482600233,NA,20961952,2391.53626844484,2019,717.021595096634,2019,72.467,2019,40.517531621348,2019,26.1187254401157,2019,0.571,2019,9.27180600953186,2019
CPV,Cabo Verde,Sub-Saharan Africa,Upper middle income,2019,60.965,62.9212,1.9561999999999955,0.9689103195743248,NA,514104,9111.62993173269,2019,4115.90283469406,2019,50.407,2019,103.593505622998,2019,71.6254285086577,2019,0.337,2019,61.9433977593088,2019
KHM,Cambodia,East Asia & Pacific,Lower middle income,2019,51.712,52.9595,1.2474999999999952,0.9764442640130667,NA,16481304,6448.88455952805,2019,2008.32094006706,2019,77.289,2019,53.3177080845995,2019,39.5830241256026,2019,0.496,2019,52.305878224498,2019
CHN,China,East Asia & Pacific,Upper middle income,2023,77.3218,77.6366,0.3148000000000053,0.9959452114080214,NA,1410710000,22687.2519534328,2023,12483.9791101249,2023,60.216,2023,NA,NA,65.5301448035523,2023,0.132,2023,90.6,2023
COL,Colombia,Latin America & Caribbean,Upper middle income,2024,80.067,78.5814,-1.485599999999991,1.0189052371171803,NA,52886363,18481.8374929368,2024,6865.31283944628,2024,51.719,2024,103.587738037109,2022,78.5210811866115,2024,0.393,2023,79.34543299,2024
CIV,Cote d'Ivoire,Sub-Saharan Africa,Lower middle income,2024,38.2892,44.5221,6.232900000000001,0.8600043573865563,NA,31934230,6747.0379677706,2024,2395.65916961845,2024,59.465,2024,64.4785040152839,2024,53.9733113940142,2024,0.589,2023,41.43219902,2024
CUB,Cuba,Latin America & Caribbean,Upper middle income,2019,75.1128,60.7326,-14.380199999999995,1.2367789292735696,NA,11202846,NA,NA,8124.75282059108,2019,44.687,2019,101.62084197998,2019,77.0728225708008,2019,0.304,2019,67.9708086565152,2019
DOM,Dominican Republic,Latin America & Caribbean,Upper middle income,2024,91.2981,90.6907,-0.6073999999999984,1.0066974893787346,NA,11427557,24229.8894872915,2024,9168.45418897141,2024,53.266,2024,80.5245385688015,2024,72.4121874752151,2024,0.417,2023,91.0022446,2024
ECU,Ecuador,Latin America & Caribbean,Upper middle income,2024,78.153,76.1506,-2.0024000000000086,1.0262952622828974,NA,18135478,13922.4222780744,2024,5993.74697758454,2024,52.394,2024,94.1827583420861,2023,63.2376932397602,2024,0.358,2023,77.17273115,2024
EGY,"Egypt, Arab Rep.","Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,2022,65.188,79.2587,14.070700000000002,0.8224712239791973,NA,112618250,16360.390775011,2022,4029.78295458204,2022,15.233,2022,83.0465220652019,2023,42.6325129008032,2022,0.399,2022,72.19806556,2022
SLV,El Salvador,Latin America & Caribbean,Upper middle income,2020,52.3743,57.1996,4.825299999999999,0.9156410184686606,NA,6234673,9692.44931605799,2020,3808.53195436409,2020,43.207,2020,66.5137094782116,2020,73.0570220947266,2020,0.359,2020,54.60136976,2020
ETH,Ethiopia,Sub-Saharan Africa,Low income,2021,13.7072,19.7244,6.017199999999999,0.6949362211271319,NA,122138588,2588.41310213778,2021,790.657019602458,2021,57.555,2021,NA,NA,22.1067085266113,2021,0.497,2021,16.6981031,2021
GEO,Georgia,Europe & Central Asia,Upper middle income,2024,84.4147,83.0962,-1.3185000000000002,1.0158671515664977,NA,3812518,24146.6234108645,2024,6606.35772271858,2024,56.673,2024,97.8280378119792,2024,61.0789605093733,2024,0.257,2023,83.79855689,2024
GTM,Guatemala,Latin America & Caribbean,Upper middle income,2021,48.5503,53.3763,4.8260000000000005,0.9095853403102125,NA,17598650,11825.141273764,2021,4268.62864461492,2021,42.496,2021,48.1472917509683,2021,54.9047071553758,2021,0.467,2021,50.84164945,2021
HND,Honduras,Latin America & Caribbean,Lower middle income,2019,40.6984,37.9628,-2.735599999999998,1.0720600166478762,NA,9943633,6264.01884276715,2019,2447.61649282181,2019,44.526,2019,68.4164123535156,2019,56.3791561389766,2019,0.445,2019,39.3883521850111,2019
IDN,Indonesia,East Asia & Pacific,Upper middle income,2024,69.9034,75.6503,5.746899999999997,0.9240333481823602,NA,283487931,14470.7179806578,2024,4367.94741847938,2024,53.588,2024,98.6691707526139,2024,58.7509635387997,2024,0.423,2023,72.78075544,2024
IRN,"Iran, Islamic Rep.","Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,2021,77.6856,79.5041,1.8185000000000002,0.9771269657791234,NA,88455488,15884.4276775963,2021,5300.62271961895,2021,13.086,2021,85.9843673706055,2022,75.9926376342773,2021,0.487,2021,78.5957366,2021
IRQ,Iraq,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,2022,72.3028,84.7161,12.413299999999992,0.8534717721897019,NA,44070551,13433.3977166956,2022,4412.99733146512,2022,11.183,2022,NA,NA,69.8682861328125,2022,0.56,2022,78.71560926,2022
JAM,Jamaica,Latin America & Caribbean,Upper middle income,2023,92.2942,86.5903,-5.703900000000004,1.0658722743771532,NA,2839786,11398.8120394641,2023,6127.90771263434,2023,63.047,2023,85.6044566148171,2023,58.4510149367429,2023,0.358,2023,89.47304282,2023
JOR,Jordan,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,2024,94.611,96.5139,1.9029000000000025,0.9802836689844675,NA,11552876,10468.265334284,2024,4441.03974922351,2024,16.008,2024,92.9268253048268,2024,92.9501393764286,2024,0.433,2023,95.62244985,2024
KAZ,Kazakhstan,Europe & Central Asia,Upper middle income,2024,92.6203,94.2114,1.5910999999999973,0.9831113856709486,NA,20592571,35973.9633287017,2024,11872.7842626298,2024,65.291,2024,96.7445196567945,2024,62.072531584162,2024,0.182,2023,93.39167254,2024
KEN,Kenya,Sub-Saharan Africa,Lower middle income,2024,32.1852,37.8239,5.6387,0.8509223004502444,NA,56432944,5841.59866001706,2024,1858.87650030024,2024,63.012,2024,84.7505339840655,2023,31.8937831721599,2024,0.526,2023,34.97622513,2024
LSO,Lesotho,Sub-Saharan Africa,Lower middle income,2019,44.9228,38.35,-6.572800000000001,1.1713898305084747,NA,2209405,2773.28639887236,2019,1040.99351014117,2019,48.958,2019,68.1387518596821,2017,38.6040920446259,2019,0.56,2019,42.301733569273,2019
MWI,Malawi,Sub-Saharan Africa,Low income,2023,16.123,18.8351,2.7120999999999995,0.8560081974611231,NA,21104482,1649.29873234551,2023,557.03523965791,2023,58.644,2023,37.2564052253575,2023,16.9748746665356,2023,0.581,2023,17.98810346,2023
MYS,Malaysia,East Asia & Pacific,Upper middle income,2024,97.6373,98.3628,0.7254999999999967,0.9926242441248114,NA,35557673,34116.2317848885,2024,11883.79127749,2024,51.617,2024,81.5357622372136,2024,76.9170296648992,2024,0.172,2023,98.0206059,2024
MDV,Maldives,South Asia,Upper middle income,2022,95.4996,76.3672,-19.132400000000004,1.2505316418567134,NA,524106,21357.8112511153,2022,10939.9963271738,2022,40.171,2022,79.1463748290014,2022,41.0641769690663,2022,0.312,2022,83.91189054,2022
MUS,Mauritius,Sub-Saharan Africa,Upper middle income,2024,72.4419,74.2288,1.7869000000000028,0.9759271334037463,NA,1245779,27844.8956114831,2024,11918.8045212095,2024,47.45,2024,93.386946088039707,2024,39.0162147027917,2024,0.352,2023,73.30793533,2024
MEX,Mexico,Latin America & Caribbean,Upper middle income,2024,82.2767,84.0676,1.7908999999999935,0.9786969058234088,NA,130861007,21970.3520412926,2024,10284.0336925726,2024,47.414,2024,109.978668212891,2024,79.7538805976118,2024,0.358,2023,83.12233799,2024
MNG,Mongolia,East Asia & Pacific,Upper middle income,2021,80.4054,82.9063,2.5009000000000015,0.969834620529441,NA,3383741,14792.2509086422,2021,4063.53669849245,2021,53.158,2021,101.767368447062,2021,69.2153244018555,2021,0.292,2021,81.60682285,2021
MNE,Montenegro,Europe & Central Asia,Upper middle income,2024,89.3549,88.4688,-0.886099999999999,1.0100159604289873,NA,623525,28105.5927726624,2024,8540.00427762252,2024,51.429,2024,95.1452331542969,2023,65.5422314706266,2024,0.121,2023,88.88258428,2024
MAR,Morocco,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,2021,86.3624,89.9199,3.5575000000000045,0.9604370111621565,NA,36954442,8623.265625,2021,3309.130859375,2021,20.697,2021,79.2970919837523,2021,62.3173276600289,2021,0.439,2021,88.13031937,2021
MKD,North Macedonia,Europe & Central Asia,Upper middle income,2020,79.2467,83.5401,4.293399999999991,0.9486067170137455,NA,1856124,20971.4421033593,2020,5743.72649424581,2020,41.861,2020,81.9225616455078,2020,61.1593302746435,2020,0.139,2020,81.40553811,2020
PAK,Pakistan,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,2020,13.6127,24.039,10.426300000000001,0.5662756354257664,NA,235001746,5135.01459288839,2020,1526.00597486307,2020,23.406,2020,36.7848892672203,2021,37.5080192948099,2020,0.544,2020,18.935,2020
PRY,Paraguay,Latin America & Caribbean,Upper middle income,2024,82.1252,81.0022,-1.1230000000000047,1.01386382098264,NA,6929153,16367.4940166481,2024,6670.6995656958,2024,58.944,2024,80.8023312507795,2024,69.8622585886961,2024,0.412,2023,81.57806793,2024
PER,Peru,Latin America & Caribbean,Upper middle income,2024,80.225,83.6948,3.4698000000000064,0.9585422272351447,NA,34217848,15708.8329440963,2024,6732.27773809578,2024,64.939,2024,108.98267364502,2024,85.1912729600355,2024,0.34,2023,81.95705992,2024
PHL,Philippines,East Asia & Pacific,Upper middle income,2024,69.9401,64.6093,-5.330799999999996,1.0825082457169477,NA,115843670,10378.1717703535,2024,3926.14900894495,2024,50.511,2024,86.1154588164975,2024,55.4520983215477,2024,0.351,2023,67.26300914,2024
SRB,Serbia,Europe & Central Asia,Upper middle income,2024,85.2017,90.278,5.076300000000003,0.9437703537960521,NA,6586476,26900.7415340646,2024,8580.26105823259,2024,52.619,2024,88.5398788452148,2024,62.3830029804177,2024,0.117,2023,87.69071294,2024
LKA,Sri Lanka,South Asia,Upper middle income,2024,52.24,57.18,4.939999999999998,0.913606155998601,NA,21916000,13793.0669827677,2024,4198.74513727898,2024,30.998,2024,90.4491165297148,2023,20.2996997058686,2024,0.367,2023,54.59,2024
