iso3,country,region,income,year,internet_female,internet_male,gap_diff,gap_ratio,internet_total,gdp_pc_ppp,gdp_pc_const,flfp,sec_enroll_fem_gross,sec_enroll_fem_net,urban_pct,population,gii
AFG,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",Low income,2015,NA,NA,NA,NA,8.260000229,2967.692067153,565.569730408751,19.113,37.8227882385254,32.92914,24.4649118421568,33831764,0.683
AFG,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",Low income,2016,NA,NA,NA,NA,11,2958.7853992308,563.872336723147,20.156,38.5832786560059,33.81677,24.6588345720126,34700612,0.682
AFG,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",Low income,2017,NA,NA,NA,NA,13.5,2952.99891598909,562.769574140988,21.24,39.937858581543,35.12171,24.8352821238871,35688935,0.679
AFG,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",Low income,2018,NA,NA,NA,NA,16.799999239999998,2902.39211285546,553.125151688293,19.805,41.3507118225098,36.69527,24.9991645191406,36743039,0.677
AFG,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",Low income,2019,NA,NA,NA,NA,17.60000038,2927.2451435353,557.861533207459,18.298,NA,NA,25.1437258839803,37856121,0.676
AFG,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",Low income,2020,NA,NA,NA,NA,17.04850006,2769.68574507111,527.834554499306,16.474,NA,NA,25.2622103446137,39068979,0.674
AFG,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",Low income,2021,NA,NA,NA,NA,16.51429939,2144.16657002819,408.625855217403,14.616,NA,NA,25.3478620272481,40000412,0.642
AFG,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",Low income,2022,NA,NA,NA,NA,15.86629963,1981.71016810561,377.665627080705,5.159,NA,NA,25.3939250580909,40578842,0.665
AFG,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",Low income,2023,NA,NA,NA,NA,15.92840004,1983.81261992909,378.06630312259,5.145,45.1596908569336,NA,25.4730529631167,41454761,0.661
AFG,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",Low income,2024,NA,NA,NA,NA,16.09499931,1964.45228895456,374.37669620849,5.123,NA,NA,25.7007352636188,42647492,NA
ALB,Albania,Europe & Central Asia,Upper middle income,2015,NA,NA,NA,NA,56.90000153,13876.7616296598,4199.53912925398,47.117,99.0993228142471,87.83338,55.1579291374894,2731293,0.179
ALB,Albania,Europe & Central Asia,Upper middle income,2016,NA,NA,NA,NA,59.59999847,14643.4285614716,4431.55635814168,49.888,96.6560853943559,87.37654,55.5738734464276,2689469,0.162
ALB,Albania,Europe & Central Asia,Upper middle income,2017,NA,NA,NA,NA,62.40000153,15359.3974577025,4648.23078660658,49.736,94.9233468518998,88.46079,55.980276426546,2648285,0.145
ALB,Albania,Europe & Central Asia,Upper middle income,2018,NA,NA,NA,NA,65.40000153,16170.9234325287,4893.82375538717,51.406,95.8495450622985,89.1819,56.377000259892,2607733,0.138
ALB,Albania,Europe & Central Asia,Upper middle income,2019,65.9616,71.1594,5.197800000000001,0.9269555392541252,68.5503911218006,16761.1230178682,5072.43648354739,52.931,95.5375027821055,NA,56.7639071287255,2567801,0.131
ALB,Albania,Europe & Central Asia,Upper middle income,2020,71.2457,73.2383,1.992599999999996,0.972792923920954,72.23767711,16457.7189744991,4980.61699524696,52.252,92.2998271538817,NA,57.1408592155544,2528480,0.125
ALB,Albania,Europe & Central Asia,Upper middle income,2021,78.3496,80.3109,1.9613000000000085,0.9755786574425139,79.32371752,18212.794718288,5511.75743402862,52.523,94.3556604734894,NA,57.5077187031778,2489762,0.109
ALB,Albania,Europe & Central Asia,Upper middle income,2022,81.5432,83.7135,2.1702999999999975,0.9740746713493045,82.61367544,19388.7927279351,5867.65096230557,56.407,93.2280956589459,NA,57.8643477747383,2451636,0.107
ALB,Albania,Europe & Central Asia,Upper middle income,2023,81.7239,84.59,2.866100000000003,0.9661177444142334,83.13559161,20501.6470726741,6204.43525612114,57.963,92.6682931237011,NA,58.2106086137857,2411658,0.107
